item	roi	word	surprisal	retrieval
742	14	कैलिफ़ोर्निया	0.45491	51.0
742	15	में	0.04548	167.92565889587104
742	16	ही	0.13886	202.2274140710133
742	17	।	0.41961	218.80587533602193
750	1	कैलिफ़ोर्निया	0.72029	51.0
750	2	में	0.04389	123.30855296529043
750	3	ही	0.14839	197.78527964379387
750	4	है	0.49475	215.17868526501138
750	5	मेन	0.37350	101.0
750	6	आरएंडडी	1.27642	528.0312546382329
750	7	तो	0.00850	145.61710593058092
750	8	।	0.00849	200.05665267703785
758	1	तो	0.36147	51.0
758	2	वहीं	0.17426	51.0
758	3	रहना	0.26019	372.1980044095982
758	4	है	0.00132	123.30855296529046
758	5	।	0.00391	197.78527964379384
766	1	यहाँ	0.36253	51.0
766	2	या	0.11349	51.0
766	3	बॉस्टन	0.53476	51.0
766	4	।	0.41114	123.30855296529046
774	1	मतलब	0.32433	51.0
774	2	वहीं	0.12471	51.0
774	3	रहना	0.24714	372.1980044095982
774	4	है	0.00148	123.30855296529046
774	5	।	0.00409	197.78527964379384
782	1	तो_बो	0.64106	51.0
782	2	।	0.90013	224.30855296529046
790	1	अच	0.14952	51.0
790	2	अच्छी	0.89309	224.30855296529046
790	3	लोकेशंज़	0.34315	123.30855296529046
790	4	दोनों	1.03207	197.78527964379384
790	5	हाँ	0.04666	215.17868526501138
790	6	।	0.01021	229.8585718968219
798	1	याह_बॉस्टन_ऐंड_[incomprehensible]	0.64106	51.0
798	2	।	0.90013	224.30855296529046
806	1	और	0.07862	51.0
806	2	इंडिया	0.36028	51.0
806	3	में	0.04843	123.30855296529043
806	4	भी	0.15451	197.78527964379387
806	5	है	0.52695	215.17868526501138
806	6	लाइब्रेरी	0.44717	101.0
806	7	डेवलपमेंट	1.58567	196.6171059305808
806	8	ग्रुप	1.62945	218.92565889587138
806	9	[pause]	0.17785	51.0
806	10	डेली	1.38773	395.929128334265
806	11	में	0.04714	145.61710593058092
806	12	।	0.42171	200.05665267703785
814	1	क्या	0.65753	101.0
814	2	वॉंट_डेवलपमेंट_ग्रुप	0.72045	123.30855296529043
814	3	।	0.00626	197.78527964379387
822	1	तो	0.36147	51.0
822	2	।	1.03579	224.30855296529046
830	1	लाइब्रेरी	0.21721	51.0
830	2	डेवलपमेंट	1.50375	174.30855296529043
830	3	।	0.29130	123.30855296529043
838	1	अबे	0.90496	101.0
838	2	लाइब्रेरी	0.92277	145.61710593058083
838	3	डेवलपमेंट	0.58604	200.0566526770377
838	4	में	0.02624	123.30855296529046
838	5	तुम	1.63932	278.7814369865765
838	6	क्या	1.21091	242.0080321753435
838	7	करोगे	0.16299	254.16995942303947
838	8	।	0.05227	265.56133050962103
846	1	क्यों	0.70586	101.0
